model_folder_leaf,problem_type,model_type,dataset_name,num_instances_evaluated,mean_approximation_ratio,mean_raw_score,avg_time_per_instance_sec,detailed_results_file
paramhash:7645a7647676d31a4bd3e1afcd4980ee3ff7bd894dc693ec2f0b1f335e6c0fbd,max_cut,GAT,BarabasiAlbert,64,N/A,427.84375,2.1860390678048134,BarabasiAlbert_eval@@MAX_CUT_results__20250520_103726.json
paramhash:03e89f4a008bdf973e94fc41f49e67a7a8747478893450addd4377e024c6835c,max_cut,GAT,BarabasiAlbert,64,N/A,840.8125,2.846741534769535,BarabasiAlbert_eval@@MAX_CUT_results__20250520_112536.json
paramhash:24efc0653b70594e04a96923bb09c3553b92c4a158261fa995ddc2d69efdfa74,max_cut,GAT,BarabasiAlbert,32,N/A,2612.25,6.401902221143246,BarabasiAlbert_eval@@MAX_CUT_results__20250520_120058.json
paramhash:14667146e25379e1f012a42514734d18aa64d43b0e8946068beab0583bc98e63,max_cut,GCNN,BarabasiAlbert,64,N/A,415.0,1.6521341688930988,BarabasiAlbert_eval@@MAX_CUT_results__20250520_102704.json
paramhash:0b9bfc5da4662f7b376db8eb3e0b788931454095a9fa012bb4abdc8b034ea9f1,max_cut,GCNN,BarabasiAlbert,32,N/A,2496.4375,5.333398059010506,BarabasiAlbert_eval@@MAX_CUT_results__20250520_104230.json
paramhash:e4755c92aed57484e57a0b02d89541672947f39e04e0873ff6ece55f590136d1,max_cut,GCNN,BarabasiAlbert,64,N/A,809.4375,3.3909698761999607,BarabasiAlbert_eval@@MAX_CUT_results__20250520_124724.json
paramhash:7cabd0c5755a4441a02302748b6783085799130984fd4a75f36c6afaeb6a58aa,max_cut,GIN,BarabasiAlbert,32,N/A,2525.5625,4.633927971124649,BarabasiAlbert_eval@@MAX_CUT_results__20250520_100341.json
paramhash:bdae9ba10e3752e03a25c2f6785706ff7a60deb6af3e7380bf6a36ce8b2982e7,max_cut,GIN,BarabasiAlbert,64,N/A,416.21875,1.2902751564979553,BarabasiAlbert_eval@@MAX_CUT_results__20250520_102852.json
paramhash:da42731f08151eac4994465482e0743c042366dc744c46f8955b54b22239e481,max_cut,GIN,BarabasiAlbert,64,N/A,812.59375,1.8638014681637287,BarabasiAlbert_eval@@MAX_CUT_results__20250520_120627.json
paramhash:b2dd152b13f6552de417de627cc654379a552808b46abdad95a39c15f0678bad,max_cut,GatedGCNN,BarabasiAlbert,64,N/A,427.9375,1.8091713413596153,BarabasiAlbert_eval@@MAX_CUT_results__20250520_093108.json
