file_path,folder_name,param_hash,experiment_type,args_problem_type,args_seed,args_prefix,args_model_type,args_num_layers,args_repeat_lift_layers,args_num_layers_project,args_rank,args_dropout,args_hidden_channels,args_norm,args_heads,args_finetune_from,args_lift_file,args_lr,args_batch_size,args_valid_freq,args_save_freq,args_penalty,args_stepwise,args_steps,args_epochs,args_train_fraction,args_dataset,args_data_seed,args_parallel,args_num_graphs,args_infinite,args_gen_n,args_gen_m,args_gen_k,args_gen_p,args_positional_encoding,args_pe_dimension,args_split_seed,args_log_dir,args_device,args_model_folder,args_model_file,args_test_prefix,args_use_val_set,args_test_problem_type,args_test_seed,args_test_device,args_stop_early_testing,args_num_test_attempts,stats_mean_raw_score,stats_std_raw_score,stats_mean_ratio (valid),stats_std_ratio (valid),stats_num_valid_ratios,stats_total_time_sec,stats_avg_time_per_instance_sec,stats_num_instances_evaluated,args_run_artifact_dir
training_runs/max_cut_HK_100_200/paramhash:82baf92bd2e4d0bcce1f892ce0783c01bfe81e08335a881e38114c83ac178580/PowerlawCluster_eval@@MAX_CUT_results__20250520_000452.json,max_cut_HK_100_200,paramhash:82baf92bd2e4d0bcce1f892ce0783c01bfe81e08335a881e38114c83ac178580,Normal,max_cut,42,max_cut_HK_100_200,LiftMP,16,,4,16,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,0.003,True,20000,100,0.8,PowerlawCluster,0,20,1000,True,"[100, 200]",,,,random_walk,8,0,training_runs/max_cut_HK_100_200/paramhash:82baf92bd2e4d0bcce1f892ce0783c01bfe81e08335a881e38114c83ac178580,cpu,training_runs/max_cut_HK_100_200/paramhash:82baf92bd2e4d0bcce1f892ce0783c01bfe81e08335a881e38114c83ac178580,best_model.pt,,False,,,,False,100,843.34375,187.35095899390933,,,0,164.4842405319214,2.5700662583112717,64,
training_runs/vertex_cover_HK_100_200/paramhash:5e3282cf79c01fa96851ba92c49011e388df54e377b724098e1ab91a08a50777/PowerlawCluster_eval@@VERTEX_COVER_results__20250520_034946.json,vertex_cover_HK_100_200,paramhash:5e3282cf79c01fa96851ba92c49011e388df54e377b724098e1ab91a08a50777,Normal,vertex_cover,42,vertex_cover_HK_100_200,LiftMP,16,,4,32,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,0.003,True,20000,100,0.8,PowerlawCluster,0,20,1000,True,"[100, 200]",,,,random_walk,8,0,training_runs/vertex_cover_HK_100_200/paramhash:5e3282cf79c01fa96851ba92c49011e388df54e377b724098e1ab91a08a50777,cpu,training_runs/vertex_cover_HK_100_200/paramhash:5e3282cf79c01fa96851ba92c49011e388df54e377b724098e1ab91a08a50777,best_model.pt,,False,,,,False,100,-141.484375,32.44514225364677,,,0,353.22864270210266,5.519197542220354,64,
training_runs/vertex_cover_WS_50_100/paramhash:28820c3a74011d6d3d224b9e9761831b95f6d831c65e7a4c77f934680c8a12bd/WattsStrogatz_eval@@VERTEX_COVER_results__20250520_045516.json,vertex_cover_WS_50_100,paramhash:28820c3a74011d6d3d224b9e9761831b95f6d831c65e7a4c77f934680c8a12bd,Normal,vertex_cover,42,vertex_cover_WS_50_100,LiftMP,16,,4,32,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,0.003,True,20000,100,0.8,WattsStrogatz,0,20,1000,True,"[50, 100]",,,,random_walk,8,0,training_runs/vertex_cover_WS_50_100/paramhash:28820c3a74011d6d3d224b9e9761831b95f6d831c65e7a4c77f934680c8a12bd,cpu,training_runs/vertex_cover_WS_50_100/paramhash:28820c3a74011d6d3d224b9e9761831b95f6d831c65e7a4c77f934680c8a12bd,best_model.pt,,False,,,,False,100,-66.0,12.568561970249421,,,0,129.02688336372375,2.0160450525581837,64,
training_runs/max_cut_HK_400_500/paramhash:2018fc426402594ca5a4038dde11dc4f5007952572b4ef08f8489c630f2eab27/PowerlawCluster_eval@@MAX_CUT_results__20250520_001408.json,max_cut_HK_400_500,paramhash:2018fc426402594ca5a4038dde11dc4f5007952572b4ef08f8489c630f2eab27,Normal,max_cut,42,max_cut_HK_400_500,LiftMP,16,,4,16,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,0.003,True,20000,100,0.8,PowerlawCluster,0,20,1000,True,"[400, 500]",,,,random_walk,8,0,training_runs/max_cut_HK_400_500/paramhash:2018fc426402594ca5a4038dde11dc4f5007952572b4ef08f8489c630f2eab27,cpu,training_runs/max_cut_HK_400_500/paramhash:2018fc426402594ca5a4038dde11dc4f5007952572b4ef08f8489c630f2eab27,best_model.pt,,False,,,,False,100,2571.375,157.7957045518033,,,0,417.4039239883423,6.521936312317848,64,
training_runs/vertex_cover_WS_400_500/paramhash:3cd425497ca5efb0910885f03685920f80af27c427b635c532a365f6ccac486b/WattsStrogatz_eval@@VERTEX_COVER_results__20250520_045250.json,vertex_cover_WS_400_500,paramhash:3cd425497ca5efb0910885f03685920f80af27c427b635c532a365f6ccac486b,Normal,vertex_cover,42,vertex_cover_WS_400_500,LiftMP,16,,4,32,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,0.003,True,20000,100,0.8,WattsStrogatz,0,20,1000,True,"[400, 500]",,,,random_walk,8,0,training_runs/vertex_cover_WS_400_500/paramhash:3cd425497ca5efb0910885f03685920f80af27c427b635c532a365f6ccac486b,cpu,training_runs/vertex_cover_WS_400_500/paramhash:3cd425497ca5efb0910885f03685920f80af27c427b635c532a365f6ccac486b,best_model.pt,,False,,,,False,100,-394.140625,27.00918083928824,,,0,372.32693552970886,5.817608367651701,64,
training_runs/max_cut_WS_400_500/paramhash:634415669413dd21cfb460a03266ef4e824417eb8d4e1b425025f9b30376f999/WattsStrogatz_eval@@MAX_CUT_results__20250520_002315.json,max_cut_WS_400_500,paramhash:634415669413dd21cfb460a03266ef4e824417eb8d4e1b425025f9b30376f999,Normal,max_cut,42,max_cut_WS_400_500,LiftMP,8,,4,16,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,0.003,True,20000,100,0.8,WattsStrogatz,0,20,1000,True,"[400, 500]",,,,random_walk,8,0,training_runs/max_cut_WS_400_500/paramhash:634415669413dd21cfb460a03266ef4e824417eb8d4e1b425025f9b30376f999,cpu,training_runs/max_cut_WS_400_500/paramhash:634415669413dd21cfb460a03266ef4e824417eb8d4e1b425025f9b30376f999,best_model.pt,,False,,,,False,100,1441.78125,89.82630265371886,,,0,232.44843435287476,3.632006786763668,64,
training_runs/vertex_cover_BA_100_200/paramhash:073b318b6d1b786793647c3b7ddd644a9a7436e8cdc0f74ef5cd983c1816813d/BarabasiAlbert_eval@@VERTEX_COVER_results__20250520_025045.json,vertex_cover_BA_100_200,paramhash:073b318b6d1b786793647c3b7ddd644a9a7436e8cdc0f74ef5cd983c1816813d,Normal,vertex_cover,42,vertex_cover_BA_100_200,LiftMP,8,,4,16,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,0.003,True,20000,100,0.8,BarabasiAlbert,0,20,1000,True,"[100, 200]",,,,random_walk,8,0,training_runs/vertex_cover_BA_100_200/paramhash:073b318b6d1b786793647c3b7ddd644a9a7436e8cdc0f74ef5cd983c1816813d,cpu,training_runs/vertex_cover_BA_100_200/paramhash:073b318b6d1b786793647c3b7ddd644a9a7436e8cdc0f74ef5cd983c1816813d,best_model.pt,,False,,,,False,100,-136.78125,28.356254132686495,,,0,157.1672146320343,2.455737728625536,64,
training_runs/vertex_cover_BA_400_500/paramhash:c7360fa12964b3d346cc8b9b561de554fb98dbec8ba83730337c4b4924053f13/BarabasiAlbert_eval@@VERTEX_COVER_results__20250520_030006.json,vertex_cover_BA_400_500,paramhash:c7360fa12964b3d346cc8b9b561de554fb98dbec8ba83730337c4b4924053f13,Normal,vertex_cover,42,vertex_cover_BA_400_500,LiftMP,8,,4,16,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,0.003,True,20000,100,0.8,BarabasiAlbert,0,20,1000,True,"[400, 500]",,,,random_walk,8,0,training_runs/vertex_cover_BA_400_500/paramhash:c7360fa12964b3d346cc8b9b561de554fb98dbec8ba83730337c4b4924053f13,cpu,training_runs/vertex_cover_BA_400_500/paramhash:c7360fa12964b3d346cc8b9b561de554fb98dbec8ba83730337c4b4924053f13,best_model.pt,,False,,,,False,100,-431.671875,28.48028632202238,,,0,428.7136435508728,6.6986506804823875,64,
training_runs/max_cut_BA_50_100/paramhash:f4acdf6c297de5786febefe0ccfc860309c331bb5cb55adc91205d3cde6b4836/BarabasiAlbert_eval@@MAX_CUT_results__20250519_235045.json,max_cut_BA_50_100,paramhash:f4acdf6c297de5786febefe0ccfc860309c331bb5cb55adc91205d3cde6b4836,Normal,max_cut,42,max_cut_BA_50_100,LiftMP,16,,4,16,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,0.003,True,20000,100,0.8,BarabasiAlbert,0,20,1000,True,"[50, 100]",,,,random_walk,8,0,training_runs/max_cut_BA_50_100/paramhash:f4acdf6c297de5786febefe0ccfc860309c331bb5cb55adc91205d3cde6b4836,cpu,training_runs/max_cut_BA_50_100/paramhash:f4acdf6c297de5786febefe0ccfc860309c331bb5cb55adc91205d3cde6b4836,best_model.pt,,False,,,,False,100,427.8125,87.28596590374651,,,0,109.52735877037048,1.7113649807870388,64,
training_runs/vertex_cover_ER_100_200/paramhash:f00304449ffe8f9cc7c94ae528ddc824b562701db5bd873eb21b1a6786d4fb7e/ErdosRenyi_eval@@VERTEX_COVER_results__20250520_030927.json,vertex_cover_ER_100_200,paramhash:f00304449ffe8f9cc7c94ae528ddc824b562701db5bd873eb21b1a6786d4fb7e,Normal,vertex_cover,42,vertex_cover_ER_100_200,LiftMP,8,,4,4,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,0.003,True,20000,100,0.8,ErdosRenyi,0,20,1000,True,"[100, 200]",,,,random_walk,2,0,training_runs/vertex_cover_ER_100_200/paramhash:f00304449ffe8f9cc7c94ae528ddc824b562701db5bd873eb21b1a6786d4fb7e,cpu,training_runs/vertex_cover_ER_100_200/paramhash:f00304449ffe8f9cc7c94ae528ddc824b562701db5bd873eb21b1a6786d4fb7e,best_model.pt,,False,,,,False,100,-137.46875,30.29334123924761,,,0,305.17419958114624,4.76834686845541,64,
