model_folder_leaf,problem_type,model_type,dataset_name,num_instances_evaluated,mean_approximation_ratio,mean_raw_score,avg_time_per_instance_sec,detailed_results_file
paramhash:03e89f4a008bdf973e94fc41f49e67a7a8747478893450addd4377e024c6835c,max_cut,GAT,BarabasiAlbert,64,N/A,840.8125,3.0491657219827175,BarabasiAlbert_eval@@MAX_CUT_results__20250519_224512.json
paramhash:24efc0653b70594e04a96923bb09c3553b92c4a158261fa995ddc2d69efdfa74,max_cut,GAT,BarabasiAlbert,32,N/A,2612.25,7.263079836964607,BarabasiAlbert_eval@@MAX_CUT_results__20250519_225117.json
paramhash:7645a7647676d31a4bd3e1afcd4980ee3ff7bd894dc693ec2f0b1f335e6c0fbd,max_cut,GAT,BarabasiAlbert,64,N/A,427.84375,2.176398102194071,BarabasiAlbert_eval@@MAX_CUT_results__20250519_225403.json
paramhash:e4755c92aed57484e57a0b02d89541672947f39e04e0873ff6ece55f590136d1,max_cut,GCNN,BarabasiAlbert,64,N/A,809.4375,2.2038667500019073,BarabasiAlbert_eval@@MAX_CUT_results__20250519_225712.json
paramhash:0b9bfc5da4662f7b376db8eb3e0b788931454095a9fa012bb4abdc8b034ea9f1,max_cut,GCNN,BarabasiAlbert,32,N/A,2496.4375,5.527712911367416,BarabasiAlbert_eval@@MAX_CUT_results__20250519_230221.json
paramhash:14667146e25379e1f012a42514734d18aa64d43b0e8946068beab0583bc98e63,max_cut,GCNN,BarabasiAlbert,64,N/A,415.0,1.6748958379030228,BarabasiAlbert_eval@@MAX_CUT_results__20250519_230435.json
paramhash:da42731f08151eac4994465482e0743c042366dc744c46f8955b54b22239e481,max_cut,GIN,BarabasiAlbert,64,N/A,812.59375,2.0334861874580383,BarabasiAlbert_eval@@MAX_CUT_results__20250519_230733.json
paramhash:7cabd0c5755a4441a02302748b6783085799130984fd4a75f36c6afaeb6a58aa,max_cut,GIN,BarabasiAlbert,32,N/A,2525.5625,5.1730668768286705,BarabasiAlbert_eval@@MAX_CUT_results__20250519_231230.json
paramhash:bdae9ba10e3752e03a25c2f6785706ff7a60deb6af3e7380bf6a36ce8b2982e7,max_cut,GIN,BarabasiAlbert,64,N/A,416.21875,1.3955462202429771,BarabasiAlbert_eval@@MAX_CUT_results__20250519_231426.json
paramhash:1b15bbd4d0bc3cacc5fd5faad6fc857454b98d21413b53498038a822b89018e9,max_cut,GatedGCNN,BarabasiAlbert,64,N/A,841.8125,1.8078064396977425,BarabasiAlbert_eval@@MAX_CUT_results__20250519_231710.json
paramhash:e7b4f28247bc0f2de6748a478c29a5e4c7d38b479452f1ccf91f498ab4ec24ae,max_cut,GatedGCNN,BarabasiAlbert,32,N/A,2594.0625,4.514581114053726,BarabasiAlbert_eval@@MAX_CUT_results__20250519_232147.json
paramhash:b2dd152b13f6552de417de627cc654379a552808b46abdad95a39c15f0678bad,max_cut,GatedGCNN,BarabasiAlbert,64,N/A,427.9375,1.23509281873703,BarabasiAlbert_eval@@MAX_CUT_results__20250519_232332.json
paramhash:e6e644147a9e7c1ad98dbfdefb0dae060659fdcdee1048cae124c5afd752a6dd,max_cut,LiftMP,BarabasiAlbert,64,N/A,840.9375,2.3461466655135155,BarabasiAlbert_eval@@MAX_CUT_results__20250519_232649.json
paramhash:ca276853a967bf620396fe881c8a3baf74d385571e9928d4a56a97370d63a7f9,max_cut,LiftMP,BarabasiAlbert,32,N/A,2610.5625,6.94986093044281,BarabasiAlbert_eval@@MAX_CUT_results__20250519_233246.json
paramhash:336cc7a8700bcb8b039ac00b1ac7de5fc5252bc70caad6ed6b650df2dfb3c29e,max_cut,LiftMP,BarabasiAlbert,64,N/A,427.71875,1.8119485601782799,BarabasiAlbert_eval@@MAX_CUT_results__20250519_233508.json
paramhash:09e2fa7556bddd7f19bf15fecb6e4a1a1231da361950cd8a43f04b3413da10f7,max_cut,LiftMP,BarabasiAlbert,64,N/A,840.875,2.3476377800107002,BarabasiAlbert_eval@@MAX_CUT_results__20250519_233826.json
paramhash:bb81813d85b8a4e734baebbaca173b9af30db229d3ac17f3d30eb2cca69bc258,max_cut,LiftMP,BarabasiAlbert,64,N/A,2590.1875,7.34018512070179,BarabasiAlbert_eval@@MAX_CUT_results__20250519_234830.json
paramhash:f4acdf6c297de5786febefe0ccfc860309c331bb5cb55adc91205d3cde6b4836,max_cut,LiftMP,BarabasiAlbert,64,N/A,427.8125,1.7113649807870388,BarabasiAlbert_eval@@MAX_CUT_results__20250519_235045.json
paramhash:5fb94d104577fa696d78a32c460e1787ee2735f09b96f2a720db7c1ba9dd16f0,max_cut,LiftMP,ErdosRenyi,64,N/A,2171.0,5.430647149682045,ErdosRenyi_eval@@MAX_CUT_results__20250519_235834.json
paramhash:e5dcef15ccf76bebe4ca40e565cbf27520e298bed5f0fdcead65c82dece59eec,max_cut,LiftMP,ErdosRenyi,64,N/A,592.1875,2.041258130222559,ErdosRenyi_eval@@MAX_CUT_results__20250520_000120.json
paramhash:82baf92bd2e4d0bcce1f892ce0783c01bfe81e08335a881e38114c83ac178580,max_cut,LiftMP,PowerlawCluster,64,N/A,843.34375,2.5700662583112717,PowerlawCluster_eval@@MAX_CUT_results__20250520_000452.json
paramhash:2018fc426402594ca5a4038dde11dc4f5007952572b4ef08f8489c630f2eab27,max_cut,LiftMP,PowerlawCluster,64,N/A,2571.375,6.521936312317848,PowerlawCluster_eval@@MAX_CUT_results__20250520_001408.json
paramhash:e700faf8fdd61bdff68d32d75b3adbdd02cf166e80e532ea05bdb98d0ebc9455,max_cut,LiftMP,PowerlawCluster,64,N/A,392.46875,1.5446801073849201,PowerlawCluster_eval@@MAX_CUT_results__20250520_001614.json
paramhash:3fb670175f3cf4c687a3f3663a24848dfdd987099a8deb042c050bc9fae6298d,max_cut,LiftMP,WattsStrogatz,64,N/A,499.875,1.4535596892237663,WattsStrogatz_eval@@MAX_CUT_results__20250520_001813.json
paramhash:634415669413dd21cfb460a03266ef4e824417eb8d4e1b425025f9b30376f999,max_cut,LiftMP,WattsStrogatz,64,N/A,1441.78125,3.632006786763668,WattsStrogatz_eval@@MAX_CUT_results__20250520_002315.json
paramhash:cd59333647e575469f3c42b29d72f7882d28747c5442212c9268310421ac39b2,max_cut,LiftMP,WattsStrogatz,64,N/A,253.96875,0.9859980046749115,WattsStrogatz_eval@@MAX_CUT_results__20250520_002434.json
paramhash:56b60c5acf09130ea575e8ed6ded2f0092e7f5ce913641eb910d496ff24aed7d,sat,LiftMP,random-sat,64,N/A,410.515625,24.94200298190117,random-sat_eval@@SAT_results__20250520_005206.json
paramhash:073b318b6d1b786793647c3b7ddd644a9a7436e8cdc0f74ef5cd983c1816813d,vertex_cover,LiftMP,BarabasiAlbert,64,N/A,-136.78125,2.455737728625536,BarabasiAlbert_eval@@VERTEX_COVER_results__20250520_025045.json
