[13/36]|{'stepwise': True, 'steps': 100000, 'valid_freq': 1000, 'dropout': 0, 'prefix': 'vertex_cover_MUTAG', 'model_type': 'LiftMP', 'dataset': 'MUTAG', 'parallel': 20, 'infinite': True, 'pe_dimension': 8, 'positional_encoding': 'random_walk', 'num_layers': 8, 'rank': 16, 'problem_type': 'vertex_cover', 'batch_size': 32, 'penalty': 0.003, 'lr': 0.001, 'seed': 42}
[14/36]|{'stepwise': True, 'steps': 100000, 'valid_freq': 1000, 'dropout': 0, 'prefix': 'vertex_cover_ENZYMES', 'model_type': 'LiftMP', 'dataset': 'ENZYMES', 'parallel': 20, 'infinite': True, 'pe_dimension': 8, 'positional_encoding': 'random_walk', 'num_layers': 8, 'rank': 16, 'problem_type': 'vertex_cover', 'batch_size': 32, 'penalty': 0.003, 'lr': 0.001, 'seed': 42}
[15/36]|{'stepwise': True, 'steps': 100000, 'valid_freq': 1000, 'dropout': 0, 'prefix': 'vertex_cover_PROTEINS', 'model_type': 'LiftMP', 'dataset': 'PROTEINS', 'parallel': 20, 'infinite': True, 'pe_dimension': 2, 'positional_encoding': 'random_walk', 'num_layers': 8, 'rank': 4, 'problem_type': 'vertex_cover', 'batch_size': 32, 'penalty': 0.003, 'lr': 0.001, 'seed': 42}
[16/21]|{'stepwise': True, 'steps': 100000, 'valid_freq': 1000, 'dropout': 0, 'prefix': 'vertex_cover_IMDB-BINARY', 'model_type': 'LiftMP', 'dataset': 'IMDB-BINARY', 'parallel': 20, 'infinite': True, 'pe_dimension': 4, 'positional_encoding': 'random_walk', 'num_layers': 8, 'rank': 8, 'problem_type': 'vertex_cover', 'batch_size': 32, 'penalty': 0.003, 'lr': 0.001, 'seed': 42}|float division by zero
[17/21]|{'stepwise': True, 'steps': 100000, 'valid_freq': 1000, 'dropout': 0, 'prefix': 'vertex_cover_COLLAB', 'model_type': 'LiftMP', 'dataset': 'COLLAB', 'parallel': 20, 'infinite': True, 'pe_dimension': 4, 'positional_encoding': 'random_walk', 'num_layers': 8, 'rank': 8, 'problem_type': 'vertex_cover', 'batch_size': 32, 'penalty': 0.003, 'lr': 0.001, 'seed': 42}|float division by zero
[23/36]|{'stepwise': True, 'steps': 20000, 'valid_freq': 1000, 'dropout': 0, 'prefix': 'max_cut_ER_400_500', 'model_type': 'LiftMP', 'dataset': 'ErdosRenyi', 'parallel': 20, 'infinite': True, 'pe_dimension': 8, 'positional_encoding': 'random_walk', 'num_layers': 16, 'rank': 16, 'problem_type': 'max_cut', 'batch_size': 32, 'penalty': 0.003, 'lr': 0.001, 'seed': 42, 'gen_n': [400, 500]}|CUDA out of memory. Tried to allocate 10.71 GiB. GPU 0 has a total capacity of 22.17 GiB of which 564.38 MiB is free. Process 211298 has 21.61 GiB memory in use. Of the allocated memory 194.07 MiB is allocated by PyTorch, and 21.19 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[30/36]|{'stepwise': True, 'steps': 100000, 'valid_freq': 1000, 'dropout': 0, 'prefix': 'max_cut_MUTAG', 'model_type': 'LiftMP', 'dataset': 'MUTAG', 'parallel': 20, 'infinite': True, 'pe_dimension': 2, 'positional_encoding': 'random_walk', 'num_layers': 8, 'rank': 4, 'problem_type': 'max_cut', 'batch_size': 32, 'penalty': 0.003, 'lr': 0.001, 'seed': 42}|float division by zero
[31/36]|{'stepwise': True, 'steps': 100000, 'valid_freq': 1000, 'dropout': 0, 'prefix': 'max_cut_ENZYMES', 'model_type': 'LiftMP', 'dataset': 'ENZYMES', 'parallel': 20, 'infinite': True, 'pe_dimension': 8, 'positional_encoding': 'random_walk', 'num_layers': 8, 'rank': 32, 'problem_type': 'max_cut', 'batch_size': 32, 'penalty': 0.003, 'lr': 0.001, 'seed': 42}|float division by zero
[32/36]|{'stepwise': True, 'steps': 100000, 'valid_freq': 1000, 'dropout': 0, 'prefix': 'max_cut_PROTEINS', 'model_type': 'LiftMP', 'dataset': 'PROTEINS', 'parallel': 20, 'infinite': True, 'pe_dimension': 8, 'positional_encoding': 'laplacian_eigenvector', 'num_layers': 8, 'rank': 32, 'problem_type': 'max_cut', 'batch_size': 32, 'penalty': 0.003, 'lr': 0.001, 'seed': 42}|float division by zero
[33/36]|{'stepwise': True, 'steps': 100000, 'valid_freq': 1000, 'dropout': 0, 'prefix': 'max_cut_IMDB-BINARY', 'model_type': 'LiftMP', 'dataset': 'IMDB-BINARY', 'parallel': 20, 'infinite': True, 'pe_dimension': 2, 'positional_encoding': 'laplacian_eigenvector', 'num_layers': 8, 'rank': 4, 'problem_type': 'max_cut', 'batch_size': 32, 'penalty': 0.003, 'lr': 0.001, 'seed': 42}|float division by zero
[34/36]|{'stepwise': True, 'steps': 100000, 'valid_freq': 1000, 'dropout': 0, 'prefix': 'max_cut_COLLAB', 'model_type': 'LiftMP', 'dataset': 'COLLAB', 'parallel': 20, 'infinite': True, 'pe_dimension': 4, 'positional_encoding': 'laplacian_eigenvector', 'num_layers': 8, 'rank': 8, 'problem_type': 'max_cut', 'batch_size': 32, 'penalty': 0.003, 'lr': 0.001, 'seed': 42}|float division by zero
